name,url,Alternative names,Affiliation,Distinction,Distinction(s),Eye colour,Feather colour,Feathers,Hair colour,Height of average adult,Known affected,Length of average adult,Ministry of Magic Classification,Mortality,Native to,Provoked by,Rarity,Related to,Sentience,Skin colour,Species,Status,Type,Wingspan of average adult
Egg Creature,https://harrypotter.fandom.com/wiki/Egg_Creature,,,"""Something in a large egg""",,,,,,,,,Beast (likely),Mortal,,,,,,Dark grey,,Extant (as of 1994),,
Falsely Pretty Fish,https://harrypotter.fandom.com/wiki/Falsely_Pretty_Fish,,,Looked in beautiful while in water and surrounded by other fish,,,,,,,,,Beast,,,,,,,,,,,
Fenny Snake,https://harrypotter.fandom.com/wiki/Fenny_Snake,,,,,,,,,,,,,Mortal,,,,Snake,,,,Extant,,
Fanged gerbil,https://harrypotter.fandom.com/wiki/Fanged_gerbil,,,Possesses fangs,,,,,,,,,,Mortal,,,,Gerbil,,,,Extant,,
Fire-breathing chicken,https://harrypotter.fandom.com/wiki/Fire-breathing_chicken,,,Breathed fireWizard-bred,,,"Red, white and gold",,,,,,Beast (most likely),Mortal,,,,Chicken,,,,Extant,,
Fire slug,https://harrypotter.fandom.com/wiki/Fire_slug,,Fire,,,,,,,,,,,Mortal,"Amazon rainforest, Brazil",,,Slug,,,,Extant,,
Firetrail Snail,https://harrypotter.fandom.com/wiki/Firetrail_Snail,,,Horns protruding from shellRed coloured shellResistant to fire,,Red,,,,,,,,,Scotland (possibly),,,SnailFlailtail Snail (possibly),,Green,,Extant,,
Flailtail Snail,https://harrypotter.fandom.com/wiki/Flailtail_Snail,,,,,White,,,,,,,,Mortal,Scotland (possibly),,,Snail,,Light blue,,Extant,,
Flesh-Eating Slug,https://harrypotter.fandom.com/wiki/Flesh-Eating_Slug,,Dark Arts,Flesh consumingOmnivorousCorrosive slime,,Black,,,,,,,,Mortal,Great Britain,,,Slug,,Pale green,,Extant,,
Flitterby,https://harrypotter.fandom.com/wiki/Flitterby,Flitterby moth,Hogwarts School of Witchcraft and WizardryRubeus Hagrid,Laugh lightly when in flightScarlet glow around wingsAre attracted to heat,,,,,,,,,,Mortal,"Scotland, Great Britain",,,Moth,,,,Extant,,
Flying pig,https://harrypotter.fandom.com/wiki/Flying_pig,,,Has the ability to fly,,,,,,,,,,,,,,Pig,,,,Extant,,
Four-Headed Bird,https://harrypotter.fandom.com/wiki/Four-Headed_Bird,,,A bird with four heads,,,,,,,,,,Mortal,,,,Bird,,,,Extant,,
Frog-Rabbit,https://harrypotter.fandom.com/wiki/Frog-Rabbit,,,,,,,,,,,,,Mortal,,,,FrogsRabbits,,,,,,
Genie,https://harrypotter.fandom.com/wiki/Genie,,Ivorian National Quidditch team,Glided over water,,,,,,,,,,,Ivorian rivers,,,,,,,Extant,,
Giant Albino Rat,https://harrypotter.fandom.com/wiki/Giant_Albino_Rat,,,LargeAlbinismStands on hind legs,,,,,White (no pigment),,,,,Mortal,,,,Albino RatGiant Rat,,Yellow,,Extant,,
Giant Black Spider,https://harrypotter.fandom.com/wiki/Giant_Black_Spider,,Dark Arts,Large size,,,,,,,,,,Mortal,,,,Spider,,Black,,Extant,,
Giant grub,https://harrypotter.fandom.com/wiki/Giant_grub,,,Used as pet food,,,,,,,,1 foot,,Mortal,,,,,,"Slimy, white",,Extant,,
Giant Orange Snail,https://harrypotter.fandom.com/wiki/Giant_Orange_Snail,,,Secrete fluids that burn anything that touches them,,,,,,,,,XXX,,,,,Streeler (possibly),,,,,,
Gigantic serpent,https://harrypotter.fandom.com/wiki/Gigantic_serpent,,,,,Blue,,,,,,,,,,,,,,Purple and green,Snake (with characteristics of dragons and Basilisks),,,
Giant Spider,https://harrypotter.fandom.com/wiki/Giant_Spider,,,Carnivorous,,Black,,,,,,,,Mortal,,,,Spider,,Brown,,Extant,,
Giant storm petrel,https://harrypotter.fandom.com/wiki/Giant_storm_petrel,,Mahoutokoro,Giant birdCapable of transporting humans,,Brown,"Mostly dark, with white underparts",,,,,,,Mortal (likely),"Minami Iwo Jima, Japan",,,Storm petrels,,,,Extant,,
Gigantic white worm,https://harrypotter.fandom.com/wiki/Gigantic_white_worm,,,,,,,,,,,,,,,,,,,White,Unknown magical species of worm,,,
Gorgon,https://harrypotter.fandom.com/wiki/Gorgon,,Dark Arts,Turn people into stoneSerpentine body and snakes for hairFemale appearance,,,,,,,,,,,Greece (possibly),,,Snake (likely),,,,,,
Gringwart Goff,https://harrypotter.fandom.com/wiki/Gringwart_Goff,,,"Long horns on its headSmall, bat-like wingsTwo- or three-fingered hands",,,,,,,,,,Mortal,,,,,,,,Extant,,
Grim,https://harrypotter.fandom.com/wiki/Grim,Barghest (by Constance Pickering's Muggle grandfather),Death,"Large, spectral appearanceWas believed to announce future death to the one who saw it",,Yellow,,,Jet-black,Giant; taller than 4',,,,,Great Britain,,,Dog,,,,,,
Harpy,https://harrypotter.fandom.com/wiki/Harpy,,,,,,,,,,,,,Mortal,,,,,,,,Mythological (possibly),,
Hermit Crab Creature,https://harrypotter.fandom.com/wiki/Hermit_crab-like_creature,,,,,,,,Purple and pink,,,,Beast (likely),Mortal,,,,,,,,Extant (as of 1993),,
Homo amphibia,https://harrypotter.fandom.com/wiki/Homo_amphibia,,,,,,,,,,,,,,,,,,,,,,,
Hydra,https://harrypotter.fandom.com/wiki/Hydra,,,Several heads,,,,,,,,,,,,,,,,,,"Extinct, mythical, or rare (possibly)",,
Hoo-hoo,https://harrypotter.fandom.com/wiki/Hoo-hoo,,Japanese National Quidditch teamAmerican National Quidditch team,,,,,,,,,,,,Japan,,,Firebird,,,,Extant,,
Iceberg Turtle,https://harrypotter.fandom.com/wiki/Iceberg_Turtle,,,Formed icebergs,,,,,,,,,,,,,,Turtle,,,,,,
Imperial Dragonfly,https://harrypotter.fandom.com/wiki/Imperial_Dragonfly,,,,,Greenish-yellow,,,,,,,,,Worldwide (originally Far East),,,Dragonfly,,Blue with pink wings,,Extant,,
Inferius,https://harrypotter.fandom.com/wiki/Inferius,,Lord VoldemortDark wizardsHaitian National Quidditch team,Reanimated corpses of dead humansExtremely vulnerable to fireProduced grey mists in occupied areas,,Cloudy white,,,Varies,Varies,,,,Mortal/undead,Worldwide,,,Human,,Pale-white,,Extant,,
Infant Demonic,https://harrypotter.fandom.com/wiki/Infant_Demonic,,,,,,,,,,,,,,,,,,,,,,,
Kraken,https://harrypotter.fandom.com/wiki/Kraken,,,,,,,,,,,,Beast (likely),Mortal,,,,Octopuses,,,,,,
Large-eared creature,https://harrypotter.fandom.com/wiki/Large-eared_creature,,,,,,,,Greyish,,,,Beast (likely),Mortal,,,,,,,,Extant (as of 1993),,
Limax,https://harrypotter.fandom.com/wiki/Limax,,,"Wide, hammer-shaped headFour arms with handsSnake-like lower body",,,,,,,,,,,,,,,,,,Extant,,
Magic hamster,https://harrypotter.fandom.com/wiki/Magic_hamster,,,Magical in some way,,,,,,,,,,Mortal,,,,Hamster,,,,Extant,,
Marble Gargoyle,https://harrypotter.fandom.com/wiki/Marble_Gargoyle_(Trading_Card),,,,,,,,,,,,,,,,Uncommon,,,,,,Creature/Gargoyle,
Mortis Bat,https://harrypotter.fandom.com/wiki/Mortis_Bat,,,VenomousKeen sense of smell,,Yellow,,,,,,,,Mortal,Great Britain,,,Bat,,Green,,Extant,,
Michigan Dogman,https://harrypotter.fandom.com/wiki/Michigan_Dogman,,,,,,,,,,,,,,"Michigan, United States",,,,,,,,,
Mummy,https://harrypotter.fandom.com/wiki/Mummy,,,Covered in bandagesBloodstained,,,,,,,,,,Already dead,Egypt,,,Human,,,,Likely extant,,
Nazzle Mumph,https://harrypotter.fandom.com/wiki/Nazzle_Mumph,,,"Looks like a Cornish Pixie, except with a rounder belly",,,,,,,,,,,,,,Cornish Pixie (presumably),,,,Extant,,
Octopus-like creature,https://harrypotter.fandom.com/wiki/Octopus-like_creature,,,,,Yellow,,,,,,,Beast (likely),Mortal,,,,,,Purple,,Extant (as of 1993),,
Ogre,https://harrypotter.fandom.com/wiki/Ogre,,,Passing resemblance to ghouls,,,,,,,,,,Mortal (possibly),,,,,,Green,,Extant (possibly),,
Panic Spider,https://harrypotter.fandom.com/wiki/Panic_Spider,,,Large sizeSurprises victims,,,,,,,,,,Mortal,,,,Spider,,Green,,Extant,,
Pheasanthunter,https://harrypotter.fandom.com/wiki/Pheasanthunter,,,Green dragon scalesGolden hornsResembles dog,,Turquoise,,,,,,,Beast,Mortal,,,,Drake,,Green,,Extant (likely),,
Plague Rat,https://harrypotter.fandom.com/wiki/Plague_Rat,,,Carries the plague,,Red,,,DarkSickly green,,,,,Mortal,Scotland,,,,,,,Extant,,
Giant Plague Rat,https://harrypotter.fandom.com/wiki/Giant_Plague_Rat,,,LargeSickly Green furCarries the plagueStands on hind feet,,White,,,Sickly Green,,,,,Mortal,,,,Plague RatGiant Rat,,White,,Extant,,
Poisonous duck,https://harrypotter.fandom.com/wiki/Poisonous_duck,,British Ministry of Magic,Poisonous,,,,,,,,,,Mortal,Wizard-bred,,,Duck,,,,Extant,,
Porcupine-like creature,https://harrypotter.fandom.com/wiki/Porcupine-like_creature,,,,,,,,Greyish brown,,,,Beast (likely),Mortal,,,,,,,,Extant (as of 1993),,
Pukwudgie,https://harrypotter.fandom.com/wiki/Pukwudgie,,Ilvermorny School of Witchcraft and Wizardry,Large-earedBoth help and hinder humansHunts with poisonous arrowsPossesses its own magic,,,,,,2-3 feet,,,,Mortal,United States of America,,,Goblin,,Grey,,Extant,,
Purple Rabbit,https://harrypotter.fandom.com/wiki/Purple_Rabbit,Flaming purple rabbit,,PurpleCan ignite things,,Black,,,Purple,,,,,Mortal,"Hogwarts Castle, Scotland, Great Britain",,,Rabbit,,,,Extinct,,
Rodential creature,https://harrypotter.fandom.com/wiki/Rodential_creature,,,,,,,,Green,,,,Beast (likely),Mortal,,,,,,,,Extant (as of 1993),,
Rougarou,https://harrypotter.fandom.com/wiki/Rougarou,Loup-garou,Dark Arts,Head of a dogSwamp dwellingDangerous,,,,,,,,,,Mortal,"Swamps in Louisiana, United States of America",,,,,,,Extant,,
Sasabonsam,https://harrypotter.fandom.com/wiki/Sasabonsam,,Nigerian National Quidditch team,Drink bloodSpindle legged,,,,,,,,,,Mortal,,,,Vampire (possibly),,,,,,
Sasquatch,https://harrypotter.fandom.com/wiki/Sasquatch,Big foot,,Large and imposing figures,,,,,Brown,,,,,Mortal,United States of America,,,,,,,Extant,,
Sandstone Gargoyle,https://harrypotter.fandom.com/wiki/Sandstone_Gargoyle,,,Made out of sandstone,,,,,,,,,,,,,,,,,,Extant,,
Shelliferous Drogodflikerous,https://harrypotter.fandom.com/wiki/Shelliferous_Drogodflikerous,,,Roughly the size of a quillCapable of writing with a quillWingedHumanoid appearanceDeep set eyesRounded bellyLarge flat feet,,,,,,,,,,,,,,,,,,Extant,,
Skipping black rat,https://harrypotter.fandom.com/wiki/Skipping_black_rat,,Magical Menagerie,,,,,,Black,,,,,Mortal,,,,Black rat,,,,"Extant, as of 1993",,
Spitting snake,https://harrypotter.fandom.com/wiki/Spitting_snake,,,Capable of spitting venomPoisonous bite,,Dark,,,,,,,,Mortal,Great Britain,,,Snake,,"Green, striped blue and orange",,Extant,,
Sprite,https://harrypotter.fandom.com/wiki/Sprite,,Water,Occupied bodies of water,,,,,,,,,,,,,,,,,,Extant,,
Wildflower sprite,https://harrypotter.fandom.com/wiki/Wildflower_sprite,,,Lives among wild flowers (presumably),,,,,,,,,,,,,,Sprite,,,,,,
Sunflower-resembling creature,https://harrypotter.fandom.com/wiki/Sunflower-resembling_creature,,,,,,,,,,,,Beast (likely),Mortal,,,,,,Green,,Extant (as of 1993),,
Tent-fox,https://harrypotter.fandom.com/wiki/Tent-fox,,,Walking around near tents (possibly),,,,,,,,,,Mortal,,,,Fox,,,,,,
Three toed tree toad,https://harrypotter.fandom.com/wiki/Three_toed_tree_toad,,,Three toes,,Yellow,,,,,,,,Mortal,,,,Toad,,Purple,,Extant,,
Transforming rabbit,https://harrypotter.fandom.com/wiki/Transforming_rabbit,,Magical Menagerie,"Could transform into a silk, black top hat at willFat and white in rabbit form",,,,,White,,,,,Mortal (likely),,,,Rabbit,,,,Extant,,
Tree-Forming Lizard,https://harrypotter.fandom.com/wiki/Tree-Forming_Lizard,,,Capable of transforming into plant-like structure,,,,,,,,,Beast,,,,,Lizard,,,,,,
Trollcleg,https://harrypotter.fandom.com/wiki/Trollcleg,,,Often found hovering above trolls,,,,,,,,,,Mortal,,,,Clegs (possibly)Trollwig (possibly),,,,Extant,,
Trollwig,https://harrypotter.fandom.com/wiki/Trollwig,,,Feed on troll earwax,,,,,,,,,,,,,,Earwig (possibly)Trollcleg (possibly),,,,Extant,,
Two-legged creature,https://harrypotter.fandom.com/wiki/Unidentified_two-legged_creature,,Hogwarts School of Witchcraft and Wizardry (decoration),BipedLong necked,,,,,,,,,Beast (if magical),Mortal,,,,,,,,,,
Urchin Creature,https://harrypotter.fandom.com/wiki/Urchin-like_creature,,,,,,,,,,,,Beast (likely),Mortal,,,,,,Black,,Extant (as of 1993),,
Valcore,https://harrypotter.fandom.com/wiki/Valcore,,,Giant sizedVery strongHostile towards humans,,,,,,About eight times that of an adult human,,,,Mortal,,,,Troll (possibly),,,,Extant,,
White River Monster,https://harrypotter.fandom.com/wiki/White_River_Monster,,,Spines on back,,,,,,,,,,Mortal,"White River, Arkansas, United States",,,Fish,,,,Extant,,
Wide-mouth toad,https://harrypotter.fandom.com/wiki/Wide-mouth_toad,,,Blemishes,,Orange or green,,,,,,,,Mortal,Northern England,,,ToadBriar Toad,,Purple (Blue underbelly),,Extant,,
Winged frog-like creature,https://harrypotter.fandom.com/wiki/Winged_frog-like_creature,,,,,Yellow,,,Grey,,,,Beast (likely),Mortal,,,,,,Green,,Extant (as of 1993),,
Wood Nymph,https://harrypotter.fandom.com/wiki/Wood_Nymph,,Beauxbatons Academy of Magic,Capable of song,,,,,,,,,,,France (possibly)United States of America,,,,,,,Extant,,
Worm-like creature,https://harrypotter.fandom.com/wiki/Worm-like_creature,,,,,,,,,,,,Beast (likely),Mortal,,,,,,Reddish,,Extant (as of 1993),,
Wrackspurt,https://harrypotter.fandom.com/wiki/Wrackspurt,,,InvisibleFlying into people's ears and making their brain fuzzy.,,Black,,,,,,,,Mortal,,,,,,Striped yellow-green,,Extant,,
Zombie,https://harrypotter.fandom.com/wiki/Zombie,,Living Dead,Greyish colourRotten smell,,,,,,,,,,,Southern United States of America,,,,,Greyish,,Extant,,
Badger,https://harrypotter.fandom.com/wiki/Badger,,Hufflepuff,White stripe that runs down its snoutOmnivorousSkilled at defending itself against larger animals,,,,,Brown with a white stripe,,,,,Mortal,,,,,,,,Extant,,
Bat,https://harrypotter.fandom.com/wiki/Bat,,Hallowe'en,Flying and wingedNocturnal and/or crepuscularWidely varied diet,,Black,,,Brown,,,,,Mortal,Various,,,,,,,Extant,,Various
Fruit bat,https://harrypotter.fandom.com/wiki/Fruit_bat,,,Diet of fruit/nectarPoor eyesightSharp hearingExcellent sense of smell,,Green,,,,,,,,Mortal,,,,Bat,,Brown,,Extant,,
Vampire bat,https://harrypotter.fandom.com/wiki/Vampire_bat,,Dark Arts (possibly)Vampires,"Blood-consumingSharp, pointed teeth",,Black,,,Black,,,,,Mortal,,,,BatVampire (possibly),,,,Extant,,
Cat,https://harrypotter.fandom.com/wiki/Cat,,MugglesWizardkind,Small and furryClawedPredatory and carnivorousKept as pets by humans,,Varies,,,Varies by breed,Varies by breed,,Varies by breed,,Mortal,Worldwide,,,LeopardLionLynxKneazleMatagotNunduTigerWampus catZouwu,,,,Extant,,
Chicken (animal),https://harrypotter.fandom.com/wiki/Chicken_(animal),,,OmnivorousBred as domestic farm animalsGregarious and live in flocks,,Black,Varies by breed,,,Varies by breed,,Varies by breed,,Mortal,Various locations throughout the world,,,CockatriceBasilisk,,,,Extant,,Varies by breed
Wild rooster,https://harrypotter.fandom.com/wiki/Wild_rooster,,,Male chickenBeautiful orange plumageWild roosters hostile to humans,,Black,Orange,,,,,,,Mortal,,,,Chicken,,,,Extant,,
Crow,https://harrypotter.fandom.com/wiki/Crow,,,,,Black,Black,,,,,,,Mortal,Great Britain,,,RavenRook,,,,Extant,,
Dog,https://harrypotter.fandom.com/wiki/Dog,,MugglesWizardkind,Generally friendly and loyal towards humansKept by humans as pets,,Black or brown,,,Varies by breed,Varies by breed,,Varies by breed,,Mortal,Worldwide,,,WolfFoxMagical sub-species:Three-headed dogGytrashGrimCrup,,,,Extant,,
Dragonfly,https://harrypotter.fandom.com/wiki/Dragonfly,,,Flying insect,,Blue,,,,,,,,Mortal,Worldwide,,,Imperial Dragonfly,,Red,,Extant,,
Eagle,https://harrypotter.fandom.com/wiki/Eagle,,Ravenclaw,,,Golden,Brown,,,,,,,Mortal,,,,FalconHawkRaven,,,,Extant,,
Ferret,https://harrypotter.fandom.com/wiki/Ferret,,,,,,,,"White, grey, brown, black",,,,,Mortal,,,,Polecat,,,,Extant,,
Fox,https://harrypotter.fandom.com/wiki/Fox,,,ScavengersPredatory,,,,,Red and white,,,,,Mortal,Great Britain,,,Dog,,,,Extant,,
Frog,https://harrypotter.fandom.com/wiki/Frog,,,Can jumpInhabit bodies of water,,Various,,,,Various,,Various,,Mortal,,,,AmphibiansToadsNewts,,Various,,Extant,,
Green Tree Frog,https://harrypotter.fandom.com/wiki/Green_Tree_Frog,Tree frog,,Lived in treesAggressive,,Dark,,,,,,,,Mortal,Great Britain,,,Frog,,Green,,Extant,,
Leech,https://harrypotter.fandom.com/wiki/Leech,,,Live in waterSuck bloodUsed in potions,,,,,,,,,,Mortal,,,,,,Black,,Extant,,
Lion,https://harrypotter.fandom.com/wiki/Lion,,Gryffindor,Carnivorous,,,,,,,,,,Mortal,AfricaAsiaIndia,,,TigerCat,,Brown-golden,,Extant,,
Newt,https://harrypotter.fandom.com/wiki/Newt,,,Closely resemble salamanders and lizards,,Various,,,,Various,,Various,,Mortal,Northern hemisphere,,,Double-ended newtSalamanderFrogToad,,Various,,Extant,,
Owl,https://harrypotter.fandom.com/wiki/Owl,,OwleryOwl Post OfficeWizardkind,Used in postal services and companionship,,,Various,,,,,,,Mortal,"Various, including Great Britain",,,,,,,Extant,,Various
Barn owl,https://harrypotter.fandom.com/wiki/Barn_owl,,Wizardkind,Sharp hearing,,,Brown and white,,,,,,,Mortal,Europe,,,Owl,,,,Extant,,
Barred owl,https://harrypotter.fandom.com/wiki/Barred_owl,,Wizardkind,Kept as pets,,,,,,,,,,Mortal,,,,Owl,,,,Extant,,
Blakiston's fish owl,https://harrypotter.fandom.com/wiki/Blakiston%27s_fish_owl,,,,,Yellow,White and brown,,,,,,,Mortal,,,,Owl,,,,Extant,,
Boreal owl,https://harrypotter.fandom.com/wiki/Boreal_owl,,,,,Yellow,Brown and white,,,,,,,Mortal,,,,Owl,,,,Extant,,
Brown Fish owl,https://harrypotter.fandom.com/wiki/Brown_Fish_owl,,Wizardkind,Kept as pets,,Yellow,Brown and white,,,,,,,Mortal,,,,Owl,,,,Extant,,
Brown owl,https://harrypotter.fandom.com/wiki/Brown_owl,,Wizardkind,Superb vision and hearing,,,Brown,,,,,,,Mortal,Eurasia,,,Tawny owlOwl,,,,Extant,,
Collared Scops Owlet,https://harrypotter.fandom.com/wiki/Collared_Scops_Owlet,,,,,Brown,White and brown,,,,,,,Mortal,,,,Owl,,,,Extant,,
Eagle owl,https://harrypotter.fandom.com/wiki/Eagle_owl,,Wizardkind,Kept as pets,,Brown,Grey,,,,,,,Mortal,,,,Owl,,,,Extant,,
Eastern screech owl,https://harrypotter.fandom.com/wiki/Eastern_screech_owl,,,,,Brown,Brown,,,,,,,Mortal,,,,Owl,,,,Extant,,
Golden owl,https://harrypotter.fandom.com/wiki/Golden_owl,,,,,,,,,,,,,,,,,,,,,,,
Great grey owl,https://harrypotter.fandom.com/wiki/Great_grey_owl,,Wizardkind,,,,Grey,,,,,,,Mortal,North America,,,,,,,Extant,,
Great Horned Owl,https://harrypotter.fandom.com/wiki/Great_Horned_Owl,,,,,Orange,Brown and white,,,,,,,Mortal,,,,Owls,,,,Extant,,
Hawk Owl,https://harrypotter.fandom.com/wiki/Hawk_Owl,,,,,Yellow,Black and white,,,,,,,Mortal,,,,Owl,,,,Extant,,
Ketupa Blakistoni Doerriesi Seebohm,https://harrypotter.fandom.com/wiki/Ketupa_Blakistoni_Doerriesi_Seebohm,,,,,Orange,WhiteDark brown,,,,,,,Mortal,,,,Blakiston's fish owl,,,,Extant,,
Little owl,https://harrypotter.fandom.com/wiki/Little_owl,,,Small in size,,,,,,,,,,Mortal,,,,Owl,,,,Extant,,
Long-whiskered owlet,https://harrypotter.fandom.com/wiki/Long-whiskered_owlet,,,,,Orange,White,,,,,,,Mortal,,,,Owl,,,,Extant,,
Milky Eagle Owlet,https://harrypotter.fandom.com/wiki/Milky_Eagle_Owlet,,,,,Brown,White,,,,,,,Mortal,,,,Eagle owl,,,,Extant,,
Northern hawk-owl,https://harrypotter.fandom.com/wiki/Northern_hawk-owl,,,,,Brown,White and grey,,,,,,,Mortal,,,,Hawk Owl,,,,Extant,,
Pink owl,https://harrypotter.fandom.com/wiki/Pink_owl,,,,,Blue,Pink,,,,,,,Mortal,,,,Owl,,,,Extant,,
Red owlet,https://harrypotter.fandom.com/wiki/Red_owlet,,,Flamboyant disposition,,Yellow,Scarlet,,,,,,,Mortal,,,,Owl,,,,Extant,,
Scops owl,https://harrypotter.fandom.com/wiki/Scops_owl,,Wizardkind,,,,Grey,,,,,,,Mortal,,,,Owl,,,,Extant,,
Screech owl,https://harrypotter.fandom.com/wiki/Screech_owl,,Wizardkind,Extremely agile,,,,,,,,,,Mortal,,,,Owl,,,,Extant,,
Short-eared owl,https://harrypotter.fandom.com/wiki/Short-eared_owl,,,,,Yellow,Brownish grey and white,,,,,,,Mortal,,,,Owl,,,,Extant,,
Snowy owl,https://harrypotter.fandom.com/wiki/Snowy_owl,,,,,YellowAmber,White,,,Various,,,,,North America,,,,,,,Extant,,125–150 cm (49–59 in)
Spectacled owl,https://harrypotter.fandom.com/wiki/Spectacled_owl,,,,,Yellow,Black and white,,,,,,,Mortal,United States of AmericaTropical areas,,,,,,,Extant,,
Spot-Bellied Eagle Owlet,https://harrypotter.fandom.com/wiki/Spot-Bellied_Eagle_Owlet,,,,,Black,White and grey (owlet)Brown (grown up),,,,,,,Mortal,,,,Eagle owl,,,,Extant,,
Spot-Bellied Owl,https://harrypotter.fandom.com/wiki/Spot-Bellied_Owl,,,,,Grey,White and grey,,,,,,,Mortal,,,,Owl,,,,Extant,,
Tawny owl,https://harrypotter.fandom.com/wiki/Tawny_owl,,Wizardkind,Excellent hearing'Twit-tawoo' call,,,TawnySlightly brown,,,,,,,Mortal,Eurasia,,,Brown owlOwl,,,,Extant,,
Peacock,https://harrypotter.fandom.com/wiki/Peacock,,,Large colourful plumagePiercing call,,Black,Colourful (mainly blue)Albino (Lucius' Peacock),,,,,,,Mortal,Asia,,,Bird,,,,Extant,,
Albino peacock,https://harrypotter.fandom.com/wiki/Albino_peacock,,,,,Black,,White,,,,,,,,,,,,,Peacock,,,
Pheasant,https://harrypotter.fandom.com/wiki/Pheasant,,,Brilliant plumage,,,,,,,,,,Mortal,Great Britain,,,Peacock,,,,Extant,,
Rat,https://harrypotter.fandom.com/wiki/Rat,,,Small rodentsRegarded as verminous pestsKept as pets,,Black or red,,,Various,,,,,Mortal,,,,Mouse,,Light,,Extant,,
Albino Rat,https://harrypotter.fandom.com/wiki/Albino_Rat,,,Uncommonly intelligent,,Red (lack of pigment),,,White (lack of pigment),,,,,Mortal,Scotland,,,RatGiant Albino Rat,,Pink (lack of pigment),,Extant,,
Black Rat,https://harrypotter.fandom.com/wiki/Black_Rat,,,,,Black,,,Black,,,,,Mortal,,,,Rat,,,,Extant,,
Black and White Rat,https://harrypotter.fandom.com/wiki/Black_and_White_Rat,,Wizardkind,,,Black,,,Black and white,,,,,Mortal,,,,Rat,,,,Extant,,
Brown Rat,https://harrypotter.fandom.com/wiki/Brown_Rat,,,,,,,,Brown,,,,,Mortal,,,,Rat,,,,Extant,,
Grey rat,https://harrypotter.fandom.com/wiki/Grey_rat,,Wizardkind,,,Black,,,Grey,,,,,Mortal,,,,Rat,,,,Extant,,
Rabbit,https://harrypotter.fandom.com/wiki/Rabbit,Bunny,,Small mammalsHerbivorousPrey animals,,Black,,,Various,,,,,Mortal,Worldwide,,,Hare,,,,Extant,,
Lop-Eared Rabbit,https://harrypotter.fandom.com/wiki/Lop-Eared_Rabbit,,,Drooping ears,,Black,,,"White, brown, grey or black",,,,,Mortal,,,,Rabbit,,,,Extant,,
Wild Rabbit,https://harrypotter.fandom.com/wiki/Wild_Rabbit,,,,,Varies,,,Varies,,,,,Mortal,,,,Rabbit,,,,Extant,,
Raven,https://harrypotter.fandom.com/wiki/Raven,,,BlackHooked beak,,Black,Black,,,,,65cm,,Mortal,Worldwide,,,CrowRook,,,,Extant,,1.2 - 1.5m
Scottish stag,https://harrypotter.fandom.com/wiki/Scottish_stag,,,Impressive horns,,,,,Brown,,,,,Mortal,Scotland,,,Deer,,,,Extant,,
Slug,https://harrypotter.fandom.com/wiki/Slug,,,,,,,,,,,,,Mortal,Worldwide,,,Snail,,,,Extant,,
Snail,https://harrypotter.fandom.com/wiki/Snail,,,Shelled gastropods,,,,,,,,,,Mortal,,,,StreelerSlugsWhelkLimpet,,,,Extant,,
Snake,https://harrypotter.fandom.com/wiki/Snake,Serpent,Salazar SlytherinSlytherin HouseHorned Serpent HouseDark Arts,LeglessCarnivorousSometimes venomous,,Various (mostly yellow),,,,,,Varies,,Mortal,Various,,,Lizards,,Various,,Extant,,
Adder,https://harrypotter.fandom.com/wiki/Adder,,,Kept as pets,,,,,,,,,,Mortal,Europe,,,Snake,,Brown,,Extant,,
Arizona coral snake,https://harrypotter.fandom.com/wiki/Arizona_coral_snake,,,StripedVenomous,,,,,,,,,,Mortal,Northwest Mexico,,,Snake,,"Red, white and black",,Extant,,
Black Mamba,https://harrypotter.fandom.com/wiki/Black_Mamba,,,Extremely poisonous venom,,Black,,,,,,,,Mortal,Africa,,,Snake,,Black,,Extant,,
Boomslang,https://harrypotter.fandom.com/wiki/Boomslang,,,Venomous,,,,,,,,,,Mortal,,,,Snake,,,,Extant,,
Boa constrictor,https://harrypotter.fandom.com/wiki/Boa_constrictor,Boa,,"Large, heavy bodiedPredatory/carnivorous",,Beady,,,,,,Around 13 feet,,Mortal,Brazil,,,PythonGrass SnakeKing CobraRattlesnakeBoomslang,,Brown,,Extant,,
Cobra,https://harrypotter.fandom.com/wiki/Cobra,,,Flares it neck into a hood when threatenedHighly venomous,,,,,,,,,,Mortal,,,,SnakesKing Cobra,,Varies,,Extant,,
Common adder,https://harrypotter.fandom.com/wiki/Common_adder,,,Bites when disturbedVenomousCarnivorous,,Brown,,,,,,,Non-magical,,Europe and Asia,,,Snake,,Brown,,Extant,,
Grass Snake,https://harrypotter.fandom.com/wiki/Grass_Snake,,,Lives in grass,,,,,,,,,,Mortal,Great Britain,,,Snake,,,,Extant,,
Green snake,https://harrypotter.fandom.com/wiki/Green_snake,,,,,Yellow,,,,,,,,Mortal,,,,Snake,,Green,,Extant,,
King Cobra,https://harrypotter.fandom.com/wiki/King_Cobra,,,,,,,,,,,,,Mortal,,,,Cobra,,,,Extant,,
Python,https://harrypotter.fandom.com/wiki/Python,Snake,,Constricting snakes,,,,,,,,,,Mortal,,,,Boa constrictorBoomslang,,,,Extant,,
Rattlesnake,https://harrypotter.fandom.com/wiki/Rattlesnake,,,Highly venomousMake rattling soundPredatory and carnivorous,,,,,,,,,,Mortal,United States of America,,,Snakes,,Brown,,Extant,,
