name,url,Affiliation,Also known as,Alternative names,Author,Born,Budget,Cover artist,Developer,Died,Director(s),Distinction,Distinction(s),Distributor(s),Eye colour,Family members,Feather colour,Feathers,Flowers,Followed by,Gender,Genre,Gross box office,Hair colour,Height of average adult,Information,Interior artist,Known affected,Latest version,Leaves,Length of average adult,Loyalty,Ministry of Magic Classification,Mortality,Music by,Narrator,Native to,Number,Occupation,Pages,Platforms,Preceded by,Producer(s),Provoked by,Publisher,Rarity,Rating,Related to,Release date,Release date(s),Released,Run-time,Sentience,Set,Skin colour,Species,Star(s),Status,Stem,Symptoms,Type,Updated,Wingspan of average adult,Writer(s)
Part-human,https://harrypotter.fandom.com/wiki/Half-breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part-troll,https://harrypotter.fandom.com/wiki/Part-troll,,,Half-troll,,,,,,,,Half-breed between trolls and humansAggressive personalityOdorousExceptional strength,,,,,,,,,,,,,,,,,,,,,Beast or being,Mortal,,,,,,,,,,,,,,TrollsHumansWizards,,,,,,,,,,Extant,,,,,,
Part-vampire,https://harrypotter.fandom.com/wiki/Part-vampire,Vampires,,Half-vampire,,,,,,,,Half-breed between vampires and humans,,,,,,,,,,,,,,,,,,,,,Being,Mortal,,,,,,,,,,,,,,VampiresHumansWizards,,,,,,,Pale,,,Extant,,,,,,
Part-Veela,https://harrypotter.fandom.com/wiki/Part-Veela,,,Part-Veela,,,,,,,,Half-breed between Veela and humans,,,,,,,,,,,,Often light,,,,,,,,,Being,Mortal,,,,,,,,,,,,,,VeelaHumansWizards,,,,,,,,,,Extant,,,,,,
House-Elf,https://harrypotter.fandom.com/wiki/House-Elf,Wizardkind,,Elf (for short),,,,,,,,Short and skinnyBat-like earsPossessed powerful magicServed wizards and witches,,,Varies,,,,,,,,,Grey,3',,,,,,,,Being,Mortal,,,,,,,,,,,,,,YumboesErklings (possibly)Imps (possibly),,,,,,,Varies,,,Extant,,,,,,
Yumbo,https://harrypotter.fandom.com/wiki/Yumbo,Senegalese National Quidditch team (team mascots),,,,,,,,,,"Spiteful disposition; tend to steal food from humansPossess powerful magic, including the ability to apparate at will",,,,,,,,,,,,,,,,,,,,,,,,,Africa,,,,,,,,,,,House-elf,,,,,,,,,,Extant,,,,,,
Human,https://harrypotter.fandom.com/wiki/Human,MugglesWizards and WitchesSquibs,,WomenMen,,,,,,,,Bipedal,,,Varies,,,,,,,,,Varies,Approx. 1.50 to 2.10 metres,,,,,,,,Being,Mortal,,,Earth,,,,,,,,,,,ApesGiantsGoblinsHalf-breedsHouse-elvesTrollsVampiresVeela,,,,,,,Varies,,,Extant,,,,,,
Non-magic person,https://harrypotter.fandom.com/wiki/Non-magic_people,Muggle-bornsSquibsMuggle world,,Muggles (Great Britain)No-Majs (USA)Non-Magiques (France)Can't-SpellsNon-wizards,,,,,,,,Lack the ability to perform magicMost are unaware of the wizarding worldUse electronic/mechanical technology and science,,,Varies,,,,,,,,,Varies,,,,,,,,,Being,Mortal,,,Worldwide,,,,,,,,,,,WizardkindSquibs,,,,,,,Varies,,,Extant,,,,,,
Squib,https://harrypotter.fandom.com/wiki/Squib,WizardkindMuggles,,,,,,,,,,Wizarding parentage but cannot use magic,,,Varies,,,,,,,,,Varies,Varies,,,,,,,,Being,Mortal,,,,,,,,,,,,,,WizardkindNon-magic people,,,,,,,Varies,,,Extant,,,,,,
Wizard,https://harrypotter.fandom.com/wiki/Wizardkind,Muggle-bornsHalf-bloodsPure-bloodsWizarding world,,Wizards and witchesSorcerers and sorceresses,,,,,,,,Typically wear long robes and pointed hatsCarry wands and broomsticksPossess and capable of using magicGenerally abstain from using modern technology,,,Varies,,,,,,,,,Varies,Varies,,,,,,,,Beings,Mortal,,,Worldwide,,,,,,,,,,,MugglesSquibsUnderbeingsHalf-breeds,,,,,,,Varies,,,Extant,,,,,,
Animagus,https://harrypotter.fandom.com/wiki/Animagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Late-bloomer,https://harrypotter.fandom.com/wiki/Late-bloomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legilimens,https://harrypotter.fandom.com/wiki/Legilimency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maledictus,https://harrypotter.fandom.com/wiki/Maledictus,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagini,,,,,,,,,,,,,,,,A female-only inheritable blood malediction,,,,,,,,,,,,,,,,A gradually uncontrollable and permanent transformation into a type of beast,,,,
Metamorphmagus,https://harrypotter.fandom.com/wiki/Metamorphmagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obscurial,https://harrypotter.fandom.com/wiki/Obscurial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occlumens,https://harrypotter.fandom.com/wiki/Occlumency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parselmouth,https://harrypotter.fandom.com/wiki/Parseltongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seer,https://harrypotter.fandom.com/wiki/Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troll,https://harrypotter.fandom.com/wiki/Troll,Norwegian National Quidditch team,,,,,,,,,,Giant-like appearanceLow intelligenceGenerally aggressive natureCarnivorous,,,Varies,,,,,,,,,,12 feet,,,,,,,,BeastXXXXBeing (formerly),Mortal,,,Europe(originally Scandinavia),,,,,,,,,,,Yeti (possibly),,,,,,,Varies,,,Extant,,,,,,
Underbeing,https://harrypotter.fandom.com/wiki/Underbeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire,https://harrypotter.fandom.com/wiki/Vampire,Living Dead,,,,,,,,,,Sharp fangsNocturnalBlood-consumingAllergic to garlic,,,Black,,,,,,,,,,Tall,,,,,,,,Being,Mortal,,,Black ForestRomaniaTransylvaniaGreat BritainUnited States of America,,,,,,,,,,,HumanSasabonsam (possibly),,,,,,,Pale,,,Extant,,,,,,
Veela,https://harrypotter.fandom.com/wiki/Veela,Bulgarian National Quidditch team,,,,,,,,,,"Very beautiful; can charm humansWhile angry, they transform into harpy-like creatures",,,Various colours (mostly blue),,,,,,,,,White-gold,,,,,,,,,Being,Mortal,,,Bulgaria,,,,,,,,,,,Human,,,,,,,Lustrous white,,,Extant,,,,,,
Werewolf,https://harrypotter.fandom.com/wiki/Werewolf,Lord VoldemortOrder of the PhoenixWerewolf army,,LycanthropeWolf-person (By Cecil Lee),,,,,,,,"Almost indistinguishable in appearance from the true wolfShorter snout, more human-like eyes, the tufted tailAggression toward humansIncurable cursed condition",,,Varies,,,,,,,,,Varies,,,,,,,,,BeingBeastXXXXX,Mortal,,,World-wide,,,,,,,,,,,WolfHuman,,,,,,,Varies,,,Extant,,,,,,
Animal ghost,https://harrypotter.fandom.com/wiki/Animal_ghost,,,Animal spirit,,,,,,,,Spirits of deceased animals,,,,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,Great Britain,,,,,,,,,,,Human ghosts,,,,,,,,,,Extant,,,,,,
Ghost horse,https://harrypotter.fandom.com/wiki/Ghost_horse,Headless Hunt,,,,,,,,,,,,,Greyish-silver,,,,,,,,,Greyish-silver,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,HorseAnimal ghost,,,,,,,Greyish-silver,,,Extant,,,,,,
Apparition,https://harrypotter.fandom.com/wiki/Apparition_(spirit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banshee,https://harrypotter.fandom.com/wiki/Banshee,Dark Arts,,,,,,,,,,Zombie-like appearanceFatal scream,,,Varies,,,,,,,,,Black,,,,,,,,,SpiritDark spirit,Amortal,,,Ireland,,,,,,,,,,,,,,,,,,Green-tinged,,,Extant,,,,,,
Fear Incarnate,https://harrypotter.fandom.com/wiki/Fear_Incarnate,Fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost,https://harrypotter.fandom.com/wiki/Ghost,Hogwarts CastleWizarding world,,PhantomSpectre,,,,,,,,Three-dimensional imprint of deceased wizards and witchesTransparentLimited physical influence,,,Greyish-silver,,,,,,,,,Greyish-silver,,,,,,,,,Spirit,Already dead,,,Worldwide,,,,,,,,,,,WizardkindAnimal ghosts,,,,,,,Greyish-silver,,,Extant,,,,,,
Angry Skull,https://harrypotter.fandom.com/wiki/Angry_Skull,Dark Arts,,,,,,,,,,AggressivePossessed by a spirit,,,,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,Cursed SkullCharmed Skeleton (possibly)Ghost,,,,,,,White,,,Extant,,,,,,
Cursed Skull,https://harrypotter.fandom.com/wiki/Cursed_Skull,Dark Arts,,,,,,,,,,AgressivePoisonousPossessed by a spirit,,,,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,Angry SkullCharmed Skeleton (possibly)Ghost,,,,,,,Green,,,Extant,,,,,,
Loose Hand,https://harrypotter.fandom.com/wiki/Loose_Hand,Dark Arts,,Severed HandDisembodied Hand,,,,,,,,Moves on its ownPossessed by spirit,,,,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,,,,,,,,Varies,,,Extant,,,,,,
Gytrash,https://harrypotter.fandom.com/wiki/Gytrash,Dark Arts,,,,,,,,,,Dog-like in appearanceForked tailAggressive towards humansRetreats from wand light,,,Black,,,,,,,,,White,,,,,,,,,"Spirit, Beast",,,,Woodlands of Great Britain,,,,,,,,,,,Dog,,,,,,,White,,,Extant,,,,,,
Phantom Rat,https://harrypotter.fandom.com/wiki/Phantom_Rat,,,,,,,,,,,Ghostly ratAggressive,,,,,,,,,,,,Blue,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,Rat,,,,,,,,,,Extant,,,,,,
Giant Phantom Rat,https://harrypotter.fandom.com/wiki/Giant_Phantom_Rat,,,,,,,,,,,Ghostly ratAggressive,,,,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,,,,,,,,,,,,Giant RatPhantom Rat,,,,,,,,,,Extant,,,,,,
Spectre Bat,https://harrypotter.fandom.com/wiki/Spectre_Bat,,,,,,,,,,,Ghost of a batCan stun victimsKeen hearingSharp sense of smell,,,Green or red,,,,,,,,,,,,,,,,,,Spirit,Already dead,,,Animal ghost,,,,,,,,,,,Bat,,,,,,,Pale blue,,,Extant,,,,,,
Spirit guide,https://harrypotter.fandom.com/wiki/Spirit_guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boggart,https://harrypotter.fandom.com/wiki/Boggart,Dark Arts,,Boggle,,,,,,,,Transformed into the worst fear of the nearest observer(s),,,Varies,,,,,,,,,Varies,,,,,,,,,Non-being,Amortal,,,Worldwide,,,,,,,,,,,Bogeyman (possibly),,,,,,,Varies,,,Extant,,,,,,
Dementor,https://harrypotter.fandom.com/wiki/Dementor,British Ministry of Magic (formerly)Azkaban (formerly)Death EatersLord VoldemortDark ArtsHogwarts School of Witchcraft and Wizardry (briefly),,,,,,,,,,"Capable of draining humans of happy thoughts, memories, and emotionsCapable of the Dementor's KissHovered effortlessly inches above the groundNegatively altered atmosphere and magically created fogForced victims to relive their worst memories",,,,,,,,,,,,,,,,,,,,,Non-being,Amortal,,,Azkaban (formerly),,,,,,,,,,,Lethifold (possibly),,,,,,,Scabby grey,,,Extant,,,,,,
Poltergeist,https://harrypotter.fandom.com/wiki/Poltergeist,,,None,,,,,,,,"Causes chaosSimilar to a ghost, but solid and can move objectsWas never a living human being",,,Varies,,,,,,,,,Varies,,,,,,,,,Non-being,Amortal,,,Worldwide,,,,,,,,,,,,,,,,,,Varies,,,Extant,,,,,,
Caipora,https://harrypotter.fandom.com/wiki/Caipora,Castelobruxo,,,,,,,,,,Extraordinarily mischievous natureProtect the grounds of Castelobruxo at night,,,Red,,,,,,,,,Red,,,,,,,,,Spirit-being,,,,"Amazon rainforest, Brazil",,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Aquavirius Maggot,https://harrypotter.fandom.com/wiki/Aquavirius_Maggot,,,,,,,,,,,Supposedly look like brains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pale,,,"Extant (allegedly), probably imaginary",,,,,,
Blibbering Humdinger,https://harrypotter.fandom.com/wiki/Blibbering_Humdinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capricorn,https://harrypotter.fandom.com/wiki/Capricorn_(creature),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crumple-Horned Snorkack,https://harrypotter.fandom.com/wiki/Crumple-Horned_Snorkack,Lovegood family,,Kacky Snorgle (by Ron Weasley)Crumple Headed Snorkack (by Selwyn),,,,,,,,"Has a long, curled hornVery shy and has a hump",,,Black,,,,,,,,,,,,,,,,,,,Mortal (possibly),,,Sweden (supposedly),,,,,,,,,,,,,,,,,,Purple,,,Mythical (most likely),,,,,,
Dabberblimp,https://harrypotter.fandom.com/wiki/Dabberblimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploding Snabberwitch,https://harrypotter.fandom.com/wiki/Exploding_Snabberwitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulping Plimpy,https://harrypotter.fandom.com/wiki/Gulping_Plimpy,,,,,,,,,,,Repelled by Gurdyroots,,,Black,,,,,,,,,,,,,,,,,,"Beast (likely, if real)",Mortal,,,,,,,,,,,,,,Plimpy,,,,,,,Yellow and red,,,Non-existent (most likely),,,,,,
Heliopath,https://harrypotter.fandom.com/wiki/Heliopath,Cornelius Fudge (supposedly),,,,,,,,,,Galloped and burned anything in its path (supposedly),,,Black,,,,,,,,,Fiery,,,,,,,,,Spirit,Mortal (possibly),,,,,,,,,,,,,,,,,,,,,Black,,,Extant (allegedly),,,,,,
Hydra,https://harrypotter.fandom.com/wiki/Hydra,,,,,,,,,,,Several heads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extinct, mythical, or rare (possibly)",,,,,,
Moon Frog,https://harrypotter.fandom.com/wiki/Moon_Frog,,,,,,,,,,,Presumably imaginaryIt has alien-like antennae,,,Black,,,,,,,,,,,,,,,,,,,Mortal (possibly),,,The Moon (supposedly),,,,,,,,,,,Frog (possibly),,,,,,,Blue,,,Extant (allegedly),,,,,,
Nargle,https://harrypotter.fandom.com/wiki/Nargle,,,,,,,,,,,Possibly fictional creatureInfesting mistletoe,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,,,,,,,,Pink,,,Unknown,,,,,,
Skin-walker,https://harrypotter.fandom.com/wiki/Skin-walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umgubular Slashkilter,https://harrypotter.fandom.com/wiki/Umgubular_Slashkilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weetimorousbeastie,https://harrypotter.fandom.com/wiki/Weetimorousbeastie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,,,,"Banks of River Clyde, Scotland",,,,,,,,,,,,,,,,,,,,,Mythical (possibly),,,,,,
5 Legger,https://harrypotter.fandom.com/wiki/5_Legger,,,,,,,,,,,Has five legs,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abarimon,https://harrypotter.fandom.com/wiki/Abarimon,Circus Arcanus,,,,,,,,,,Hairy humanoidBackwards feet,,,,,,,,,,,,,,,,,,,,,,Mortal (likely),,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Albino bloodhound,https://harrypotter.fandom.com/wiki/Albino_bloodhound,British Ministry of MagicDepartment for the Regulation and Control of Magical CreaturesPest Advisory Board,,,,,,,,,,Lack of pigment in hair and eyes,,,Pale blue,,,,,,,,,White,,,,,,,,,,Mortal,,,,,,,,,,,,,,Dogs,,,,,,,White,,,Extant,,,,,,
Alizor of Westacottus,https://harrypotter.fandom.com/wiki/Alizor_of_Westacottus,,,,,,,,,,,Humanoid appearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Bee-like creature,https://harrypotter.fandom.com/wiki/Bee-like_creature,,,,,,,,,,,,,,,,,,,,,,,Yellow and black,,,,,,,,,Beast (likely),Mortal,,,,,,,,,,,,,,,,,,,,,,,,Extant (as of 1993),,,,,,
Bicorn,https://harrypotter.fandom.com/wiki/Bicorn,,,,,,,,,,,Two hornsAggressive disposition,,,,,,,,,,,,,,,,,,,,,Beast (most likely),Mortal,,,,,,,,,,,,,,Cattle (possibly),,,,,,,,,,Extant,,,,,,
Blind-Worm,https://harrypotter.fandom.com/wiki/Blind-Worm,,,,,,,,,,,Small eyesLegelessBurrowers,,,,,,,,,,,,,Various height,,,,,,Various length,,,Mortal,,,,,,,,,,,,,,,,,,,,,Various colours,,,Extant,,,,,,
Blood-Sucking Bugbear,https://harrypotter.fandom.com/wiki/Blood-Sucking_Bugbear,,,,,,,,,,,Blood-consuming (presumably),,,,,,,,,,,,,,,,,,,,,Beast (most likely),,,,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogeyman,https://harrypotter.fandom.com/wiki/Bogeyman,Dark Arts,,,,,,,,,,Squints painfully when exposed to light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boggart (possibly),,,,,,,,,,Extant,,,,,,
Briar Toad,https://harrypotter.fandom.com/wiki/Briar_Toad,,,,,,,,,,,PoisonousBlemishes on skin,,,Dark,,,,,,,,,,,,,,,,,,,Mortal,,,Northern England,,,,,,,,,,,ToadWide-mouth toad,,,,,,,Red,,,Extant,,,,,,
Charmed skeleton,https://harrypotter.fandom.com/wiki/Charmed_skeleton,Dark Arts (possibly),,,,,,,,,,Reanimated skeleton,,,"Green, sometimes none",,,,,,,,,,Varies,,,,,,,,,Mortal,,,,,,,,,,,,,,InferiusZombie (possibly),,,,,,,,,,Extant,,,,,,
Cherub,https://harrypotter.fandom.com/wiki/Cherub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliodna's birds,https://harrypotter.fandom.com/wiki/Cliodna%27s_birds,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,,Cliodna,,,,,,,,,,,,,,,,,,,,,,,,Birds,,,,,,,,
Cobra Lily,https://harrypotter.fandom.com/wiki/Cobra_Lily,,,,,,,,,,,,Plant/snake hybridAggressive,,,,,,Lilies,,,,,,,,,,,Green in colour,,,,,,,,,,,,,,,,,,CobraLily,,,,,Sentient,,,,,Extant,Green in colour,,,,,
Cockatrice,https://harrypotter.fandom.com/wiki/Cockatrice,French National Quidditch teamTriwizard Tournament (formerly),,,,,,,,,,Had a lizard's tail and a rooster's headDestructive nature,,,,,,,,,,,,,,,,,,,,,,Mortal (presumably),,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Coco Rumsey Catcher,https://harrypotter.fandom.com/wiki/Coco_Rumsey_Catcher,,,,,,,,,,,Resembles the Cornish PixieEnjoys flower-picking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornish Pixie (presumably),,,,,,,,,,Extant,,,,,,
Cocoon Spider,https://harrypotter.fandom.com/wiki/Cocoon_Spider,,,,,,,,,,,Robust webbing ability,,,Black,,,,,,,,,GreenOrange,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,,,,Extant,,,,,,
Crazed Capybara,https://harrypotter.fandom.com/wiki/Crazed_Capybara,,,,,,,,,,,Could become crazed when angry,,,Black,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Curupira,https://harrypotter.fandom.com/wiki/Curupira,Brazilian National Quidditch team,,,,,,,,,,Feet point backwards,,,,,,,,,,,,Red,,,,,,,,,,Mortal,,,Brazilian forests,,,,,,,,,,,Dwarf,,,,,,,,,,Extant,,,,,,
Daraliznof Freaazer,https://harrypotter.fandom.com/wiki/Daraliznof_Freaazer,,,,,,,,,,,"Bulging eyesLarge, pointed ears",,,,,,,,,,,,Hairless,,,,,,,,,,,,,,,,,,,,,,,,House-elves (possibly),,,,,,,,,,Extant,,,,,,
Death's Dark Mongrel,https://harrypotter.fandom.com/wiki/Death%27s_Dark_Mongrel,Death's ShadowDeath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,,,,,,,,,,,Possibly non-existent,,,,,,
Death's Shadow,https://harrypotter.fandom.com/wiki/Death%27s_Shadow,Death,,,,,,,,,,Black gas surrounding them,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Charmed skeleton (possibly),,,,,,,,,,Possibly non-existent,,,,,,
Death's Troll,https://harrypotter.fandom.com/wiki/Death%27s_Troll,DeathDeath's Shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Death's ShadowDeath's Dark Mongrel,,,,,,,,,,Possibly non-existent,,,,,,
Dragon toad,https://harrypotter.fandom.com/wiki/Dragon_toad,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,ToadDragon (possibly),,,,,,,Red/Orange/Brown,,,Extant,,,,,,
Dough Creature,https://harrypotter.fandom.com/wiki/Dough_Creature,,,,,,,,,,,Made of blood sausage meat pie,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,,,,,,,,Pastry,,,Eradicated,,,,,,
Dricken,https://harrypotter.fandom.com/wiki/Dricken,,,,,,,,,,,Possible crossbreed of a chicken and a Common Welsh Green dragon,,,,,,,,,,,,,,,,,,,,,Beast (at least partly),Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dukuwaqa,https://harrypotter.fandom.com/wiki/Dukuwaqa,Fijian National Quidditch team,,,,,,,,,,Could transform from a shark into a human/Shapeshifter,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Fijian oceans,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Dwarf,https://harrypotter.fandom.com/wiki/Dwarf,Gilderoy Lockhart,,,,,,,,,,Short and stocky,,,,,,,,,,,,Dark,,,,,,,,,,Mortal,,,,,,,,,,,,,,CurupiraRed Cap (possibly),,,,,,,Pale,,,Extant,,,,,,
Egg Creature,https://harrypotter.fandom.com/wiki/Egg_Creature,,,,,,,,,,,"""Something in a large egg""",,,,,,,,,,,,,,,,,,,,,Beast (likely),Mortal,,,,,,,,,,,,,,,,,,,,,Dark grey,,,Extant (as of 1994),,,,,,
Falsely Pretty Fish,https://harrypotter.fandom.com/wiki/Falsely_Pretty_Fish,,,,,,,,,,,Looked in beautiful while in water and surrounded by other fish,,,,,,,,,,,,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenny Snake,https://harrypotter.fandom.com/wiki/Fenny_Snake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Snake,,,,,,,,,,Extant,,,,,,
Fanged gerbil,https://harrypotter.fandom.com/wiki/Fanged_gerbil,,,,,,,,,,,Possesses fangs,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Gerbil,,,,,,,,,,Extant,,,,,,
Fire-breathing chicken,https://harrypotter.fandom.com/wiki/Fire-breathing_chicken,,,,,,,,,,,Breathed fireWizard-bred,,,,,"Red, white and gold",,,,,,,,,,,,,,,,Beast (most likely),Mortal,,,,,,,,,,,,,,Chicken,,,,,,,,,,Extant,,,,,,
Fire slug,https://harrypotter.fandom.com/wiki/Fire_slug,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,"Amazon rainforest, Brazil",,,,,,,,,,,Slug,,,,,,,,,,Extant,,,,,,
Firetrail Snail,https://harrypotter.fandom.com/wiki/Firetrail_Snail,,,,,,,,,,,Horns protruding from shellRed coloured shellResistant to fire,,,Red,,,,,,,,,,,,,,,,,,,,,,Scotland (possibly),,,,,,,,,,,SnailFlailtail Snail (possibly),,,,,,,Green,,,Extant,,,,,,
Flailtail Snail,https://harrypotter.fandom.com/wiki/Flailtail_Snail,,,,,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,Mortal,,,Scotland (possibly),,,,,,,,,,,Snail,,,,,,,Light blue,,,Extant,,,,,,
Flesh-Eating Slug,https://harrypotter.fandom.com/wiki/Flesh-Eating_Slug,Dark Arts,,,,,,,,,,Flesh consumingOmnivorousCorrosive slime,,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,Great Britain,,,,,,,,,,,Slug,,,,,,,Pale green,,,Extant,,,,,,
Flitterby,https://harrypotter.fandom.com/wiki/Flitterby,Hogwarts School of Witchcraft and WizardryRubeus Hagrid,,Flitterby moth,,,,,,,,Laugh lightly when in flightScarlet glow around wingsAre attracted to heat,,,,,,,,,,,,,,,,,,,,,,Mortal,,,"Scotland, Great Britain",,,,,,,,,,,Moth,,,,,,,,,,Extant,,,,,,
Flying pig,https://harrypotter.fandom.com/wiki/Flying_pig,,,,,,,,,,,Has the ability to fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pig,,,,,,,,,,Extant,,,,,,
Four-Headed Bird,https://harrypotter.fandom.com/wiki/Four-Headed_Bird,,,,,,,,,,,A bird with four heads,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Bird,,,,,,,,,,Extant,,,,,,
Frog-Rabbit,https://harrypotter.fandom.com/wiki/Frog-Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,FrogsRabbits,,,,,,,,,,,,,,,,
Genie,https://harrypotter.fandom.com/wiki/Genie,Ivorian National Quidditch team,,,,,,,,,,Glided over water,,,,,,,,,,,,,,,,,,,,,,,,,Ivorian rivers,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Giant Albino Rat,https://harrypotter.fandom.com/wiki/Giant_Albino_Rat,,,,,,,,,,,LargeAlbinismStands on hind legs,,,,,,,,,,,,White (no pigment),,,,,,,,,,Mortal,,,,,,,,,,,,,,Albino RatGiant Rat,,,,,,,Yellow,,,Extant,,,,,,
Giant Black Spider,https://harrypotter.fandom.com/wiki/Giant_Black_Spider,Dark Arts,,,,,,,,,,Large size,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Spider,,,,,,,Black,,,Extant,,,,,,
